CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO,LON,LAT,AREA
c3,숙박,제주휴리조트,서귀포시 성산읍 난고로 230,2023,304,35,21,38,50,44,24,32,15,16,15,7,7,126.893826057,33.42078949,북동
c3,숙박,조은민박,제주시 추자면 대서4길 6,2023,240,32,18,25,16,24,36,19,17,27,16,6,4,126.294364904,33.963052931,북서
c3,숙박,조이랜드펜션,제주시 애월읍 애원로 116-5,2023,184,23,21,11,29,19,15,14,8,13,8,6,17,126.32555915,33.45449208,북서
c3,숙박,조천댁,제주시 조천읍 조천7길 19-17,2023,490,54,45,62,70,63,42,25,33,17,22,28,29,126.63444744,33.538347595,북동
c3,숙박,조천스테이,제주시 조천읍 조천9길 30-1,2023,684,64,47,88,79,66,44,38,46,54,53,46,59,126.637392722,33.538307063,북동
c3,숙박,종달스토리,제주시 구좌읍 종달논길 61-7,2023,253,35,19,20,24,26,23,14,18,23,24,12,15,126.900195688,33.491776303,북동
c3,숙박,중문그린힐통나무펜션,서귀포시 천제연로 103-36,2023,612,58,54,62,49,54,62,51,37,49,28,53,55,126.418222151,33.257053278,남서
c3,숙박,중문빌리지,서귀포시 예래로 270,2023,292,35,21,28,41,34,36,17,21,34,11,2,12,126.385095897,33.242703774,남서
c3,숙박,중문스테이,제주툭별자치도 서귀포시 중문관광로 288,2023,268,39,16,33,38,38,26,15,26,25,6,5,1,,,Unknown
c3,숙박,중문진실캠핑장,서귀포시 천제연로 130,2023,563,30,42,65,67,68,62,41,40,50,38,32,28,126.41825661,33.252833463,남서
c3,숙박,중문통나무펜션리조트,서귀포시 중산간서로594번길 7-8,2023,21,0,0,0,0,0,0,0,0,0,0,0,21,126.450995061,33.26347956,남서
c3,숙박,중문통나무휴양펜션,서귀포시 중산간서로594번길 7-8,2023,199,28,18,21,32,22,12,15,13,16,9,13,0,126.450995061,33.26347956,남서
c3,숙박,중문햇빛펜션,서귀포시 안덕면 쇠물도로 14,2023,446,38,40,61,54,47,53,33,38,17,27,15,23,126.369935259,33.269834703,남서
c3,숙박,중문훼미리리조트,서귀포시 소보리당로164번길 83,2023,338,39,38,29,36,36,47,26,26,15,21,12,13,126.383452035,33.266099289,남서
c3,숙박,중복 미공개,서귀포시 색달중앙로 162,2023,32,32,0,0,0,0,0,0,0,0,0,0,0,126.419120279,33.269153374,남서
c3,숙박,쥬빌리펜션,서귀포시 안덕면 소기왓로 84,2023,155,15,15,13,17,17,13,14,13,13,9,16,0,126.369071559,33.242132309,남서
c3,숙박,쥬빌리펜션,서귀포시 안덕면 소기왓로 84-4,2023,7,0,0,0,0,0,0,0,0,0,0,0,7,126.369316553,33.242465417,남서
c3,숙박,지니코티지,제주시 한경면 수동1길 15,2023,178,17,14,22,16,17,20,16,16,15,12,6,7,126.236208788,33.338126773,남서
c3,숙박,지삿개풍경,서귀포시 이어도로 150,2023,458,52,50,34,51,82,57,36,36,31,16,6,7,126.438100433,33.239689633,남서
c3,숙박,지현민박,제주시 우도면 우도해안길 794,2023,214,14,12,26,21,20,40,24,17,17,10,5,8,126.956984229,33.515025461,북동
c3,숙박,징크호텔,서귀포시 중정로 11,2023,78,11,10,8,5,8,8,6,9,7,4,2,0,126.557556727,33.247701032,남동
c3,숙박,쫄깃센터,제주시 한림읍 협재1길 27,2023,1001,95,86,92,81,93,85,62,78,85,85,68,91,126.243155047,33.397682447,북서
c3,숙박,채우리네펜션,서귀포시 검은여로 67,2023,303,62,28,28,22,33,27,25,15,14,21,12,16,126.581365722,33.249349924,남동
c3,숙박,천상의노을,제주시 애월읍 애월해안로 424,2023,713,53,27,55,45,42,42,30,35,105,31,128,120,126.353129691,33.473882257,북서
